song,songLabel,contributor,contributorLabel,role,album,albumLabel,genre,genreLabel,recordLabel,recordLabelLabel,country,countryLabel,releaseDate
http://www.wikidata.org/entity/Q27988136,I Don't Wanna Live Forever,http://www.wikidata.org/entity/Q26876,Taylor Swift,lyricist,,,http://www.wikidata.org/entity/Q188450,electropop,http://www.wikidata.org/entity/Q38903,Universal Music Group,http://www.wikidata.org/entity/Q30,United States,
http://www.wikidata.org/entity/Q27988136,I Don't Wanna Live Forever,http://www.wikidata.org/entity/Q26876,Taylor Swift,lyricist,,,http://www.wikidata.org/entity/Q217597,electro,http://www.wikidata.org/entity/Q38903,Universal Music Group,http://www.wikidata.org/entity/Q30,United States,
http://www.wikidata.org/entity/Q27988136,I Don't Wanna Live Forever,http://www.wikidata.org/entity/Q26876,Taylor Swift,lyricist,,,http://www.wikidata.org/entity/Q850412,contemporary R&B,http://www.wikidata.org/entity/Q38903,Universal Music Group,http://www.wikidata.org/entity/Q30,United States,
http://www.wikidata.org/entity/Q28133090,Castle on the Hill,http://www.wikidata.org/entity/Q47447,Ed Sheeran,lyricist,http://www.wikidata.org/entity/Q28133332,÷,http://www.wikidata.org/entity/Q484641,pop rock,http://www.wikidata.org/entity/Q1998195,Asylum Records,http://www.wikidata.org/entity/Q145,United Kingdom,
http://www.wikidata.org/entity/Q59285479,Nothing Breaks Like a Heart,http://www.wikidata.org/entity/Q4235,Miley Cyrus,performer,,,http://www.wikidata.org/entity/Q83440,country music,http://www.wikidata.org/entity/Q202585,RCA Records,http://www.wikidata.org/entity/Q30,United States,
http://www.wikidata.org/entity/Q918493,Skyscraper,http://www.wikidata.org/entity/Q106567,Toby Gad,lyricist,,,http://www.wikidata.org/entity/Q37073,pop music,http://www.wikidata.org/entity/Q387539,Hollywood Records,http://www.wikidata.org/entity/Q183,Germany,
http://www.wikidata.org/entity/Q27988136,I Don't Wanna Live Forever,http://www.wikidata.org/entity/Q151304,Jack Antonoff,lyricist,,,http://www.wikidata.org/entity/Q188450,electropop,http://www.wikidata.org/entity/Q38903,Universal Music Group,http://www.wikidata.org/entity/Q30,United States,
http://www.wikidata.org/entity/Q27988136,I Don't Wanna Live Forever,http://www.wikidata.org/entity/Q151304,Jack Antonoff,lyricist,,,http://www.wikidata.org/entity/Q217597,electro,http://www.wikidata.org/entity/Q38903,Universal Music Group,http://www.wikidata.org/entity/Q30,United States,
http://www.wikidata.org/entity/Q27988136,I Don't Wanna Live Forever,http://www.wikidata.org/entity/Q151304,Jack Antonoff,lyricist,,,http://www.wikidata.org/entity/Q850412,contemporary R&B,http://www.wikidata.org/entity/Q38903,Universal Music Group,http://www.wikidata.org/entity/Q30,United States,
http://www.wikidata.org/entity/Q23853630,Let Me Love You,http://www.wikidata.org/entity/Q151892,Ariana Grande,lyricist,,,http://www.wikidata.org/entity/Q850412,contemporary R&B,http://www.wikidata.org/entity/Q4413456,Republic Records,http://www.wikidata.org/entity/Q30,United States,
http://www.wikidata.org/entity/Q58895468,Say My Name,http://www.wikidata.org/entity/Q8298,David Guetta,performer,,,http://www.wikidata.org/entity/Q211756,dance-pop,http://www.wikidata.org/entity/Q202440,Atlantic Records,http://www.wikidata.org/entity/Q142,France,
